//1,//2,//3,//4,//5,//6,//7,//8,//9,//10,//11,//12,//13,//14,//15,//16,//17,//18,//19,//20,//21,//22,//23,//24,//25,//26,//27,//28,//29,//30,//31,//32,//33,//34,//35,//36,//37,//38,//39,//40,//41,//42,//43,//44,//45,//46,//47,//48,//49,//50,//51,//52,//53,//54,//55,//56,//57,//58,//59,//60,//61,//62,//63,//64
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,"160,3","160,3","160,3",0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,"160,3",0,"160,3",0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,"160,3",0,"160,3",0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,"160,3",500,"160,3",0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,"160,6,0","160,6,0","160,6,0",0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,0,0,0,0,"160,6,0",0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,"160,7",0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,"160,7",0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,"160,7",0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,0,0,"153,4,0",0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,"160,7",0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,"160,7",0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,200,0,0,0,0,0,0,0,0,0,"160,7",0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,0,0,0,0,"160,6,0",0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,500,0,0,"152,7",0,0,"160,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"160,2",0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"160,2",0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"160,2",0,0,0,0,102,102,0,0,0,0,0,0,0,0,0,"160,6,0",0,0,0,0,0,0,0,0,0,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"160,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,"160,2",0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,"150,3,4",100,0,0,0,0,0,0,0,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,"160,2",0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,103,0,0,100,100,"160,6,0",0,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"160,2",0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,100,100,0,0,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,101,101,101,101,0,0,100,0,0,0,0,0,"150, 2",0,0,0,0,"160,2",0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,100,100,0,0,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,105,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,104,100,100,0,"160,6,0",110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,0,0,0,100,100,0,0,110
